time | w0| w1| w2| w3| w4| finished
-----+---+---+---+---+---+--------------
   0 | F | H | R | X | . | 
   1 | F | H | R | X | . | 
   2 | F | H | R | X | . | 
   3 | F | H | R | X | . | 
   4 | F | H | R | X | . | 
   5 | F | H | R | X | . | 
   6 | F | H | R | X | . | 
   7 | F | H | R | X | . | 
   8 | F | H | R | X | . | 
   9 | F | H | R | X | . | 
  10 | F | H | R | X | . | 
  11 | F | H | R | X | . | 
  12 | F | H | R | X | . | 
  13 | F | H | R | X | . | 
  14 | F | H | R | X | . | 
  15 | F | H | R | X | . | 
  16 | F | H | R | X | . | 
  17 | F | H | R | X | . | 
  18 | F | H | R | X | . | 
  19 | F | H | R | X | . | 
  20 | F | H | R | X | . | 
  21 | F | H | R | X | . | 
  22 | F | H | R | X | . | 
  23 | F | H | R | X | . | 
  24 | F | H | R | X | . | 
  25 | F | H | R | X | . | 
  26 | F | H | R | X | . | 
  27 | F | H | R | X | . | 
  28 | F | H | R | X | . | 
  29 | F | H | R | X | . | 
  30 | F | H | R | X | . | 
  31 | F | H | R | X | . | 
  32 | F | H | R | X | . | 
  33 | F | H | R | X | . | 
  34 | F | H | R | X | . | 
  35 | F | H | R | X | . | 
  36 | F | H | R | X | . | 
  37 | F | H | R | X | . | 
  38 | F | H | R | X | . | 
  39 | F | H | R | X | . | 
  40 | F | H | R | X | . | 
  41 | F | H | R | X | . | 
  42 | F | H | R | X | . | 
  43 | F | H | R | X | . | 
  44 | F | H | R | X | . | 
  45 | F | H | R | X | . | 
  46 | F | H | R | X | . | 
  47 | F | H | R | X | . | 
  48 | F | H | R | X | . | 
  49 | F | H | R | X | . | 
  50 | F | H | R | X | . | 
  51 | F | H | R | X | . | 
  52 | F | H | R | X | . | 
  53 | F | H | R | X | . | 
  54 | F | H | R | X | . | 
  55 | F | H | R | X | . | 
  56 | F | H | R | X | . | 
  57 | F | H | R | X | . | 
  58 | F | H | R | X | . | 
  59 | F | H | R | X | . | 
  60 | F | H | R | X | . | 
  61 | F | H | R | X | . | 
  62 | F | H | R | X | . | 
  63 | F | H | R | X | . | 
  64 | F | H | R | X | . | 
  65 | F | H | R | X | . | 
  66 | M | H | R | X | Q | F
  67 | M | H | R | X | Q | F
  68 | M | . | R | X | Q | FH
  69 | M | . | R | X | Q | FH
  70 | M | . | R | X | Q | FH
  71 | M | . | R | X | Q | FH
  72 | M | . | R | X | Q | FH
  73 | M | . | R | X | Q | FH
  74 | M | . | R | X | Q | FH
  75 | M | . | R | X | Q | FH
  76 | M | . | R | X | Q | FH
  77 | M | . | R | X | Q | FH
  78 | M | S | . | X | Q | FHR
  79 | M | S | . | X | Q | FHR
  80 | M | S | . | X | Q | FHR
  81 | M | S | . | X | Q | FHR
  82 | M | S | . | X | Q | FHR
  83 | M | S | . | X | Q | FHR
  84 | M | S | N | . | Q | FHRX
  85 | M | S | N | . | Q | FHRX
  86 | M | S | N | . | Q | FHRX
  87 | M | S | N | . | Q | FHRX
  88 | M | S | N | . | Q | FHRX
  89 | M | S | N | . | Q | FHRX
  90 | M | S | N | . | Q | FHRX
  91 | M | S | N | . | Q | FHRX
  92 | M | S | N | . | Q | FHRX
  93 | M | S | N | . | Q | FHRX
  94 | M | S | N | . | Q | FHRX
  95 | M | S | N | . | Q | FHRX
  96 | M | S | N | . | Q | FHRX
  97 | M | S | N | . | Q | FHRX
  98 | M | S | N | . | Q | FHRX
  99 | M | S | N | . | Q | FHRX
 100 | M | S | N | . | Q | FHRX
 101 | M | S | N | . | Q | FHRX
 102 | M | S | N | . | Q | FHRX
 103 | M | S | N | . | Q | FHRX
 104 | M | S | N | . | Q | FHRX
